lEntity,Rela,rEntity
aorta,is,tortuous
aorta,is,calcified
aorta,is,ectatic
aorta,is,unfolded
aorta,has,atherosclerotic calcifications
aorta,is,dilated
aorta,is,prominent
aorta,has,aneurysmal enlargement
heart,size,normal
heart,size,enlarged
heart,has,cardiomegaly
heart,size,borderline
heart,has,left ventricular enlargement
lungs,are,clear
lungs,have,emphysematous changes
lungs,have,granulomas
lungs,are,hyperinflated
lungs,have,interstitial markings
lungs,have,chronic changes
lungs,have,COPD changes
pleural effusion,is,absent
pleural effusion,is,present
pneumothorax,is,absent
pulmonary edema,is,absent
pulmonary edema,is,present
thoracic spine,has,degenerative changes
thoracic spine,has,osteophytes
thoracic spine,has,spondylosis
ribs,have,fractures
mediastinum,is,normal
mediastinum,is,widened
pulmonary vasculature,is,normal
pulmonary vasculature,is,engorged
diaphragm,is,elevated
diaphragm,is,flattened
hiatal hernia,is,present
sternotomy wires,are,present
pacemaker,is,present
ICD leads,are,present
airspace consolidation,is,absent
airspace consolidation,is,present
atelectasis,is,present
interstitial markings,are,present
nodules,are,present
calcified lymph nodes,are,present
scoliosis,is,present
kyphosis,is,present
osteopenia,is,present
pleural thickening,is,present
pulmonary hypertension,may be,present
costophrenic angles,are,blunted
lung volumes,are,low
lung volumes,are,normal
trachea,is,midline
surgical clips,are,present
CABG,changes are,present
aortic valve replacement,changes are,present
vertebral bodies,have,wedge deformities
clavicle,has,deformity
azygos fissure,is,present
pulmonary nodules,are,present
pleural plaques,are,present
bronchial wall thickening,is,present
pulmonary fibrosis,may be,present
lung scarring,is,present
mediastinal lymphadenopathy,may be,present
aortic aneurysm,may be,present
tracheostomy tube,is,present
mitral annular calcification,is,present
apical scarring,is,present
calcified granuloma,located in,lung
calcified granuloma,located in,right upper lobe
calcified granuloma,located in,left upper lobe
calcified granuloma,located in,right lower lobe
calcified granuloma,located in,left lower lobe
calcified granuloma,located in,right midlung
calcified granuloma,located in,left midlung
calcified granuloma,located in,right hilar region
calcified granuloma,located in,left hilar region
calcified granuloma,located in,right apex
calcified granuloma,located in,left apex
calcified granuloma,located in,right base
calcified granuloma,located in,left base
calcified granuloma,located in,right middle lobe
calcified granuloma,located in,lingula
calcified granuloma,located in,right costophrenic angle
calcified granuloma,located in,left costophrenic angle
calcified granuloma,size,3 mm
calcified granuloma,size,4 mm
calcified granuloma,size,5 mm
calcified granuloma,size,6 mm
calcified granuloma,size,8 mm
calcified granuloma,size,1.7 cm
calcified granuloma,size,2 cm
calcified granuloma,appearance,stable
calcified granuloma,appearance,unchanged
calcified granuloma,quantity,multiple
calcified granuloma,quantity,scattered
calcified granuloma,quantity,few
heart,size,normal
heart,size,enlarged
heart,size,mildly enlarged
heart,size,upper limits of normal
heart,contour,normal
lungs,condition,clear
lungs,condition,hyperexpanded
lungs,condition,emphysematous
lungs,condition,well-expanded
lungs,condition,low volume
pleural effusion,status,absent
pleural effusion,status,present
pleural effusion,location,left
pleural effusion,location,right
pleural effusion,location,bilateral
pleural effusion,size,small
pneumothorax,status,absent
pneumothorax,status,present
thoracic spine,condition,degenerative changes
thoracic spine,condition,osteophytes
thoracic spine,condition,scoliosis
aorta,condition,calcified
aorta,condition,tortuous
aorta,condition,ectatic
mediastinal contour,appearance,normal
mediastinal contour,appearance,widened
pulmonary vasculature,appearance,normal
pulmonary vasculature,appearance,prominent
COPD,associated with,lung changes
COPD,associated with,hyperinflation
hiatal hernia,status,present
hiatal hernia,size,small
rib fractures,status,present
rib fractures,location,left
rib fractures,location,right
rib fractures,healing status,healed
sternotomy wires,status,present
pacemaker,status,present
pacemaker,location,left chest
ICD leads,status,present
lung nodules,status,present
lung nodules,size,small
lung nodules,appearance,noncalcified
atelectasis,location,bibasilar
atelectasis,location,left base
atelectasis,location,right base
osteopenia,location,spine
osteopenia,location,ribs
scoliosis,location,thoracic spine
scoliosis,severity,mild
calcified lymph nodes,location,hilar
calcified lymph nodes,location,mediastinal
pulmonary fibrosis,status,present
pulmonary fibrosis,location,bilateral
pleural thickening,location,apical
pleural thickening,location,right
pleural thickening,location,left
cardiomegaly,status,present
cardiomegaly,degree,mild
atherosclerosis,location,aorta
atherosclerosis,severity,moderate
emphysema,associated with,lung changes
emphysema,location,upper lobes
bronchial wall thickening,status,present
bronchial wall thickening,location,diffuse
interstitial markings,location,bilateral
interstitial markings,appearance,increased
kyphosis,location,thoracic spine
kyphosis,severity,mild
pectus excavatum,status,present
pectus carinatum,status,present
diaphragm,position,elevated
diaphragm,position,normal
trachea,position,midline
trachea,position,deviated
costophrenic angles,appearance,sharp
costophrenic angles,appearance,blunted
bony structures,appearance,intact
bony structures,appearance,degenerative changes
soft tissues,appearance,normal
soft tissues,appearance,swelling
calcified granuloma,associated with,previous infection
calcified granuloma,associated with,tuberculosis
calcified granuloma,associated with,histoplasmosis
calcified granuloma,follow-up,recommended
calcified granuloma,follow-up,not necessary
calcified granuloma,clinical significance,benign
calcified granuloma,clinical significance,requires monitoring
calcified granuloma,differential diagnosis,includes malignancy
calcified granuloma,differential diagnosis,includes sarcoidosis
calcified granuloma,differential diagnosis,includes fungal infection
chest radiograph,quality,adequate
chest radiograph,view,PA
chest radiograph,view,lateral
chest radiograph,comparison,previous study
pulmonary arteries,appearance,normal
pulmonary arteries,appearance,enlarged
bronchi,appearance,normal
bronchi,appearance,thickened walls
lung volumes,status,normal
lung volumes,status,decreased
lung volumes,status,increased
pleural plaques,status,present
pleural plaques,location,bilateral
pleural plaques,associated with,asbestos exposure
air bronchograms,status,present
air bronchograms,location,right lower lobe
air bronchograms,associated with,pneumonia
cardiomediastinal silhouette,appearance,normal
cardiomediastinal silhouette,appearance,enlarged
calcified granuloma,density,high
calcified granuloma,shape,round
calcified granuloma,shape,oval
calcified granuloma,margins,well-defined
calcified granuloma,distribution,random
calcified granuloma,distribution,upper lobe predominant
calcified granuloma,temporal change,stable
calcified granuloma,temporal change,increased in size
calcified granuloma,temporal change,decreased in size
calcified granuloma,associated findings,none
calcified granuloma,associated findings,surrounding inflammation
lungs,status,clear
lungs,status,expanded
infiltrates,presence,no
atelectasis,location,lingula
heart size,status,normal
calcified granuloma,location,right hilar
lungs,status,hyperinflated
pulmonary vasculature,status,normal
pleural effusion,presence,no
pneumothorax,presence,no
calcified granuloma,location,left midlung
calcified lymph nodes,location,left hilar
calcified lymph nodes,location,mediastinal
aorta,status,tortuous
aorta,status,calcified
spine,condition,degenerative changes
ribs,condition,no acute fractures
calcified granuloma,location,left upper lobe
calcified granuloma,location,left lower lobe
calcified granuloma,size,small
calcified granuloma,size,large
calcified granuloma,number,multiple
calcified granuloma,number,single
calcified granuloma,stability,stable
calcified granuloma,stability,unchanged
calcified lymph nodes,size,small
calcified lymph nodes,size,large
calcified lymph nodes,number,multiple
calcified lymph nodes,number,single
calcified lymph nodes,stability,stable
calcified lymph nodes,stability,unchanged
heart,size,enlarged
heart,size,normal
mediastinum,contour,normal
mediastinum,contour,widened
lungs,condition,emphysema
lungs,condition,COPD
diaphragm,contour,flattened
retrosternal space,status,increased
pulmonary edema,presence,no
pulmonary edema,presence,yes
consolidation,presence,no
consolidation,presence,yes
atelectasis,location,bibasilar
atelectasis,side,left
atelectasis,side,right
pleural thickening,location,left lateral
pleural thickening,location,right lateral
sternotomy wires,presence,yes
aortic valve,status,prosthetic
CABG,evidence,clips
CABG,evidence,markers
coronary artery,evidence,stents
lung volumes,status,low
scoliosis,location,thoracolumbar
osteophytes,location,thoracic spine
fracture,location,right humeral
fracture,status,fixation
kyphosis,degree,exaggerated
bone density,status,osteopenia
clavicle,condition,old fracture
pulmonary arteries,status,prominent
costophrenic angles,status,blunted
airspace disease,location,right basilar
pleural plaques,presence,yes
pleural plaques,association,asbestos exposure
calcified granuloma,differential diagnosis,tuberculosis
calcified granuloma,differential diagnosis,histoplasmosis
calcified granuloma,follow-up,recommended
calcified granuloma,clinical significance,benign
calcified granuloma,clinical significance,requires monitoring
hiatus hernia,size,moderate
nodule,location,left lower lobe
nodule,size,22 x 14 mm
nodule,composition,calcified
interstitial markings,status,increased
interstitial markings,pattern,reticular
interstitial markings,pattern,nodular
pulmonary fibrosis,extent,diffuse bilateral
pulmonary fibrosis,sparing,bilateral apices
aorta,condition,aneurysm
aorta,location,descending thoracic
lymph nodes,calcification,right paratracheal
lymph nodes,calcification,right hilar
lymph nodes,calcification,left hilar
lymph nodes,calcification,subcarinal
lymph nodes,calcification,mediastinal
granuloma,location,right upper lobe
granuloma,location,right lower lobe
granuloma,location,left upper lobe
granuloma,location,left lower lobe
granuloma,size,small
granuloma,size,large
granuloma,number,multiple
granuloma,number,single
granuloma,stability,stable
granuloma,stability,unchanged
pleural effusion,size,small
pleural effusion,size,moderate
pleural effusion,laterality,bilateral
pleural effusion,laterality,unilateral
azygos fissure,presence,yes
azygos fissure,clinical significance,normal variant
cardiac defibrillator,location,right ventricle
splenic granulomas,presence,multiple
splenic granulomas,composition,calcified
vertebral body,condition,compression fracture
vertebral body,location,thoracic
pacemaker,presence,yes
pacemaker,location,right chest wall
bronchial wall thickening,presence,yes
bronchial wall thickening,association,chronic bronchitis
pulmonary hypertension,evidence,enlarged pulmonary arteries
pulmonary hypertension,evidence,right ventricular enlargement
calcified granuloma,differential diagnosis,old empyema
calcified granuloma,differential diagnosis,old hematoma
calcified granuloma,differential diagnosis,prior tuberculosis
calcified granuloma,location,left paraesophageal
calcified granuloma,location,intrapulmonary
thoracic aorta,condition,ectasia
thoracic aorta,condition,tortuosity
mitral valve,condition,annular calcification
epicardial fat pads,status,prominent
thoracic spine,condition,DISH
lung base,opacity,patchy
lung base,opacity,resolving
hemidiaphragm,condition,tenting
hemidiaphragm,location,right lateral
pleural thickening,location,left apical
T12-L1 vertebrae,condition,possible old injury
T12-L1 vertebrae,condition,possible developmental anomaly
lungs,hyperexpansion,associated with COPD
prostate cancer,history,mentioned
prostate cancer,recommendation,further evaluation with CT scan
granulomatous disease,evidence,calcified lymph nodes
granulomatous disease,evidence,calcified lung nodules
granulomatous disease,possible cause,histoplasmosis
granulomatous disease,possible cause,tuberculosis
granulomatous disease,possible cause,sarcoidosis
pulmonary sarcoidosis,possibility,mentioned
pulmonary sarcoidosis,evidence,indistinct pulmonary interstitium
pulmonary sarcoidosis,evidence,parenchymal nodules
pulmonary edema,evidence,bronchovascular crowding
pulmonary edema,evidence,cephalization of vessels
asbestos exposure,possibility,mentioned
asbestos exposure,evidence,pleural plaques
chronic lung disease,evidence,hyperinflation
chronic lung disease,evidence,coarsened interstitial markings
chronic lung disease,type,COPD
chronic lung disease,type,emphysema
cardiomegaly,severity,mild
cardiomegaly,stability,stable
vascular congestion,location,central
lung volumes,status,low
left hemidiaphragm,status,elevated
atelectasis,location,basilar
atelectasis,type,subsegmental
heart,size,enlarged
mediastinal contours,status,stable
pulmonary vascularity,status,normal
pleural effusion,presence,no
pneumothorax,presence,no
consolidation,presence,no
aorta,condition,tortuous
aorta,condition,calcified
spine,condition,degenerative changes
interstitial markings,status,increased
pulmonary edema,presence,possible
hiatal hernia,presence,yes
hiatal hernia,size,moderate
sternotomy,presence,yes
sternotomy wires,status,intact
CABG,history,yes
pacemaker,presence,yes
pacemaker,location,left chest wall
ICD,presence,yes
ICD,location,left chest
lung granuloma,presence,yes
lung granuloma,location,right base
lung granuloma,type,calcified
pleural thickening,presence,yes
pleural thickening,location,left apical
hemidiaphragm,condition,elevated
hemidiaphragm,location,right
COPD,evidence,hyperinflated lungs
pulmonary hypertension,evidence,enlarged pulmonary arteries
pulmonary hypertension,evidence,right ventricular enlargement
atrial enlargement,location,right
atrial enlargement,location,left
ventricular enlargement,location,right
thoracic aorta,condition,ectasia
thoracic aorta,condition,atherosclerosis
mitral valve,condition,annular calcification
aortic valve,status,prosthetic
coronary artery,presence,stents
lung volumes,status,hyperexpanded
interstitial lung disease,presence,possible
pulmonary fibrosis,presence,possible
azygos fissure,presence,yes
azygos fissure,clinical significance,normal variant
lung nodule,presence,yes
lung nodule,location,left upper lobe
lung nodule,size,2.2 x 1.6 cm
pleural effusion,location,bilateral
pleural effusion,size,small
pulmonary edema,type,interstitial
pulmonary edema,severity,mild
atelectasis,location,bibasilar
atelectasis,location,left lower lobe
atelectasis,location,right middle lobe
pulmonary vascular congestion,presence,yes
pulmonary vascular congestion,severity,mild
airspace disease,location,bilateral
airspace disease,location,bibasilar
airspace disease,type,patchy
thoracic spine,condition,kyphosis
thoracic spine,condition,scoliosis
thoracic spine,condition,degenerative changes
rib fracture,presence,old
rib fracture,location,right
shoulder,condition,degenerative changes
shoulder,location,bilateral
clavicle,condition,resection
clavicle,location,left distal
hilar lymph node,condition,calcified
hilar lymph node,location,right
mediastinal lymph node,condition,calcified
pericardial effusion,presence,possible
pericardial fat pad,status,prominent
epicardial fat pad,status,prominent
diaphragm,condition,eventration
diaphragm,location,right
tracheostomy tube,presence,yes
tracheostomy tube,position,above carina
central venous catheter,presence,yes
central venous catheter,location,right internal jugular
PICC line,presence,yes
PICC line,location,right upper extremity
dialysis catheter,presence,yes
dialysis catheter,type,dual-lumen
aortic aneurysm,location,ascending
aortic aneurysm,presence,known
breast implants,presence,yes
breast implants,type,calcified
mastectomy,history,yes
mastectomy,location,right
lung scarring,presence,yes
lung scarring,location,left base
lung scarring,location,right upper lobe
granulomatous disease,evidence,calcified lymph nodes
(heart,size,normal
(heart,size,enlarged
(heart,size,mildly enlarged
(heart,size,borderline
(heart,size,upper normal
(heart,size,within normal limits
(lungs,condition,clear
(lungs,condition,hyperinflated
(lungs,condition,emphysematous
(lungs,condition,well-aerated
(lungs,condition,hypoinflated
(pleural effusion,presence,no
(pleural effusion,presence,small
(pleural effusion,presence,minimal
(pneumothorax,presence,no
(scarring,location,biapical
(scarring,location,left base
(scarring,location,right base
(scarring,location,bilateral base
(scarring,location,left upper lobe
(scarring,location,right upper lobe
(scarring,location,lingula
(atelectasis,location,left base
(atelectasis,location,right base
(atelectasis,location,bilateral base
(consolidation,presence,no
(consolidation,location,right upper lobe
(consolidation,location,left lower lobe
(granuloma,type,calcified
(granuloma,location,right hilum
(granuloma,location,left lower lobe
(aorta,condition,tortuous
(aorta,condition,calcified
(aorta,condition,ectatic
(aorta,condition,atherosclerotic
(mediastinum,appearance,normal
(mediastinum,appearance,unremarkable
(COPD,presence,yes
(emphysema,presence,yes
(emphysema,severity,severe
(pulmonary vasculature,appearance,normal
(pulmonary vasculature,appearance,prominent
(rib fracture,presence,old
(rib fracture,location,left 9th
(spine,condition,degenerative changes
(spine,condition,scoliosis
(spine,condition,osteophytes
(pacemaker,presence,yes
(pacemaker,location,left chest wall
(hiatal hernia,presence,yes
(lung volumes,condition,low
(airspace disease,location,right upper lobe
(airspace disease,location,left lower lobe
(pleural thickening,location,left apex
(pleural thickening,location,right apex
(bronchiectasis,presence,yes
(bronchiectasis,cause,cystic fibrosis
(tuberculosis,status,previous
(cardiomegaly,presence,yes
(cardiomegaly,severity,mild
(lung mass,location,left lung base
(AICD,presence,yes
(AICD,location,left chest wall
(central venous catheter,presence,yes
(central venous catheter,location,right jugular
(CABG,status,post
(mitral valve,status,post surgery
(sternotomy,status,post
(lungs,condition,hyperaerated
(lungs,condition,hyperexpanded
(lungs,condition,hyperinflated
(lungs,condition,clear
(lungs,condition,emphysematous
(heart,size,normal
(heart,size,mildly enlarged
(heart,size,borderline
(mediastinum,appearance,unremarkable
(mediastinum,appearance,normal
(aorta,condition,tortuous
(aorta,condition,calcified
(aorta,condition,ectatic
(aorta,condition,atherosclerotic
(diaphragm,condition,flattened
(pleural effusion,presence,no
(pleural effusion,presence,small
(pneumothorax,presence,no
(pulmonary vasculature,appearance,normal
(pulmonary vasculature,appearance,prominent
(emphysema,presence,yes
(emphysema,severity,mild
(emphysema,severity,severe
(COPD,presence,yes
(consolidation,presence,no
(consolidation,location,right middle lobe
(consolidation,location,right upper lobe
(granuloma,type,calcified
(granuloma,location,right hilum
(granuloma,location,left upper lobe
(atelectasis,location,bibasilar
(atelectasis,location,left base
(atelectasis,location,right base
(scarring,location,biapical
(scarring,location,left base
(scarring,location,right base
(spine,condition,degenerative changes
(spine,condition,scoliosis
(spine,condition,kyphosis
(rib,condition,fracture
(rib,location,left
(rib,location,right
(pacemaker,presence,yes
(pacemaker,location,left chest wall
(AICD,presence,yes
(AICD,location,left chest wall
(cardiomegaly,presence,yes
(cardiomegaly,severity,mild
(pulmonary artery,condition,enlarged
(lung volumes,condition,low
(lung volumes,condition,increased
(airspace disease,location,right middle lobe
(airspace disease,location,right upper lobe
(pleural thickening,location,biapical
(hiatal hernia,presence,yes
(tuberculosis,status,previous
(sternotomy,status,post
(central venous catheter,presence,yes
(central venous catheter,location,right jugular
(PICC line,presence,yes
(PICC line,location,left arm
(lungs,condition,hypoinflated
(lungs,condition,low volumes
(lungs,condition,clear
(lungs,condition,hypoventilated
(heart,size,normal
(heart,size,mildly enlarged
(heart,size,borderline
(heart,size,cardiomegaly
(mediastinum,appearance,unremarkable
(mediastinum,appearance,normal
(mediastinum,appearance,widened
(aorta,condition,tortuous
(aorta,condition,calcified
(aorta,condition,atherosclerotic
(diaphragm,condition,elevated
(diaphragm,condition,eventration
(pleural effusion,presence,small
(pleural effusion,presence,bilateral
(pleural effusion,location,right
(pleural effusion,location,left
(pneumothorax,presence,no
(pulmonary vasculature,appearance,normal
(pulmonary vasculature,appearance,congested
(atelectasis,location,bibasilar
(atelectasis,location,left base
(atelectasis,location,right base
(infiltrate,location,right lower lobe
(infiltrate,location,left lower lobe
(consolidation,location,right lower lobe
(consolidation,location,left lower lobe
(granuloma,type,calcified
(granuloma,location,right upper lobe
(granuloma,location,left upper lobe
(hilar lymph nodes,condition,calcified
(hilar lymph nodes,location,right
(hilar lymph nodes,location,left
(spine,condition,degenerative changes
(spine,condition,scoliosis
(spine,condition,kyphosis
(rib,condition,fracture
(rib,location,left
(rib,location,right
(pacemaker,presence,yes
(pacemaker,location,left chest wall
(AICD,presence,yes
(AICD,location,left chest wall
(central venous catheter,presence,yes
(central venous catheter,location,right internal jugular
(PICC line,presence,yes
